Author,Title,Abstract
ANDREW BACHER-HICKS,"The pandemic's effect on demand for public schools, homeschooling, and private schools","The Covid-19 pandemic drastically disrupted the functioning of U.S. public schools, potentially changing the relative appeal of alternatives such as homeschooling and private schools. Using longitudinal student-level administrative data from Michigan and nationally representative data from the Census Household Pulse Survey, we show how the pandemic affected families’ choices of school sector. We document four central facts. First, public school enrollment declined noticeably in fall 2020, with about 3 percent of Michigan students and 10 percent of kindergartners using other options. Second, most of this was driven by homeschooling rates jumping substantially, driven largely by families with children in elementary school. Third, homeschooling increased more where schools provided in-person instruction while private schooling increased more where instruction was remote, suggesting heterogeneity in parental concerns about children’s physical health and instructional quality. Fourth, kindergarten declines were highest among low income and Black families while declines in other grades were highest among higher income and White families, highlighting important heterogeneity by students’ existing attachment to public schools. Our results shed light on how families make schooling decisions and imply potential longer-run disruptions to public schools in the form of decreased enrollment and funding, changed composition of the student body, and increased size of the next kindergarten cohort."
ANDREW BACHER-HICKS,The COVID-19 pandemic disrupted both school bullying and cyberbullying,
ANDREW BACHER-HICKS,"The pandemic’s effect on demand for public schools, homeschooling, and private schools",
ANDREW BACHER-HICKS,The COVID-19 pandemic is a lousy natural experiment for studying the effects of online learning,
KELLY BYLICA,Critical pedagogy in school music programs: examining the connections and disconnections between teacher preparation and active teaching,"Music education scholarship has long called for a more critical, socially just approach to teacher preparation. These include curricular opportunities to work with students from diverse contexts in practicum settings, social-justice-oriented readings and professional development, and guided reflection opportunities. However, scholars also note that practicing educators often revert to “traditional” methods of teaching once they enter the field, suggesting a disconnect between music teacher education and practice. The purpose of this qualitative case study was to examine the experiences of three recent alumni of one music teacher education program, paying particular attention to the ways in which these teachers engage or do not engage in socially just practices in their music classrooms. In particular, we focused on how their experiences as music education students impacted their practices as they relate to social justice. We also examined possible barriers that may make socially just engagements challenging. Findings suggest that engaging in both theoretical and contextually applied approaches to critical pedagogy is particularly important. Findings also suggest that practicing educators may face challenges including navigating accountability measures and finding a balance between meeting the needs of students in the classroom while simultaneously challenging oppressive structures. This project has the potential to inform how we can best incorporate a more inclusive and critical pedagogy in ways that are practical for teachers as they enter their first year of teaching and may also result in resources to support critical pedagogy and social justice in music classrooms."
NICHOLAS CORDELLA,Personalized hypertension treatment recommendations by a data-driven model,"BACKGROUND: Hypertension is a prevalent cardiovascular disease with severe longer-term implications. Conventional management based on clinical guidelines does not facilitate personalized treatment that accounts for a richer set of patient characteristics. METHODS: Records from 1/1/2012 to 1/1/2020 at the Boston Medical Center were used, selecting patients with either a hypertension diagnosis or meeting diagnostic criteria (≥ 130 mmHg systolic or ≥ 90 mmHg diastolic, n = 42,752). Models were developed to recommend a class of antihypertensive medications for each patient based on their characteristics. Regression immunized against outliers was combined with a nearest neighbor approach to associate with each patient an affinity group of other patients. This group was then used to make predictions of future Systolic Blood Pressure (SBP) under each prescription type. For each patient, we leveraged these predictions to select the class of medication that minimized their future predicted SBP. RESULTS: The proposed model, built with a distributionally robust learning procedure, leads to a reduction of 14.28 mmHg in SBP, on average. This reduction is 70.30% larger than the reduction achieved by the standard-of-care and 7.08% better than the corresponding reduction achieved by the 2nd best model which uses ordinary least squares regression. All derived models outperform following the previous prescription or the current ground truth prescription in the record. We randomly sampled and manually reviewed 350 patient records; 87.71% of these model-generated prescription recommendations passed a sanity check by clinicians. CONCLUSION: Our data-driven approach for personalized hypertension treatment yielded significant improvement compared to the standard-of-care. The model implied potential benefits of computationally deprescribing and can support situations with clinical equipoise."
NICHOLAS CORDELLA,An initiative to reduce hospital readmissions: moving towards a learning health system,"BACKGROUND: Avoidable readmissions to the hospital present a significant challenge for health systems with an estimated $41.3 billion per year in additional healthcare spending attributed to unnecessary rehospitalization. Existing interventions targeting readmissions shows mixed evidence of effectiveness and context dependent success for certain strategies. This study is a pragmatic evaluation of the effectiveness of a hospital-wide readmission reduction initiative at Boston Medical Center (BMC), a large safety-net hospital, with the goal of advancing a Learning Health System model. METHODS: Adult patients admitted to BMC were risk stratified using a proprietary algorithm into one of four risk groups: Low Risk (LR), Moderate Risk (MR), High Risk (HR) and Super Utilizer (SU). The MR, HR and SU groups were each assigned to receive a different bundle of evidence-informed readmission reduction interventions. We used a quasi-experimental design combining principles of Regression Discontinuity and Difference-in-Difference to estimate the effect that each of the three bundles had on a 30-day readmission outcome. Patient visits from February 2015 to January 2016 were included in the pre-implementation period and visits from November 2016 to October 2017 in the post-implementation period. RESULTS: There were 18,634 patient visits included in the pre-intervention period and 10,714 observations in the post-implementation period. We found no significant effect for any of the three bundles of interventions with adjusted pre-post changes in 30-day readmission of 2.67% (95%CI: -1.27, 6.61) for the MR group, 1.02% (95%CI: -4.65, 6.68) for the HR group and 8.07% (95%CI: -4.33, 18.46) for the SU group. DISCUSSION: The interventions in the BMC readmissions reduction initiative were not successful in reducing readmission rates for any of the targeted risk groups. Further work is needed to identify specific factors in the design and implementation of the interventions that limited their effectiveness. However, the results of this evaluation can be used to guide iterative improvement for future readmission reduction efforts. Additionally, the analytic strategy used in this study provides a model for hospitals to develop Learning Health System capabilities that can be applied to targets beyond hospital readmissions."
DAVID SNYDER,"Canvass: a crowd-sourced, natural-product screening library for exploring biological space",
RICARDO CRUZ,Effect of residual interatrial shunt on migraine burden after transcatheter closure of patent foramen ovale,"OBJECTIVES: This study sought to evaluate the long-term effect of transcatheter patent foramen ovale (PFO) closure on migraineurs with and without aura and examine the effect of residual right-to-left shunt. BACKGROUND: Many studies reported improvement in migraine symptoms after PFO closure, yet randomized trials failed to reach its clinical endpoints. METHODS: The study retrospectively analyzed data from 474 patients who underwent transcatheter PFO closure at Massachusetts General Hospital. Patients completed a migraine burden questionnaire at baseline and at follow-up. Migraine severity is reported as migraine frequency (days/month), average duration (min), and migraine burden (days × min/month). Improvement following closure was defined as complete abolishment of symptoms or >50% reduction in migraine burden. RESULTS: A total of 110 migraineurs who underwent PFO closure were included; 77.0% had aura and 23.0% were without aura, and 91.0% had a cryptogenic stroke. During long-term median follow-up of 3.2 (interquartile range: 2.1 to 4.9) years, there was a significant improvement in migraine symptoms in migraineurs with or without aura. Migraine burden was reduced by >50% in 87.0% of patients, and symptoms were completely abolished in 48%. Presence of aura was associated with abolishment of migraine (odds ratio: 4.30; 95% confidence interval: 1.50 to 12.30; p = 0.006). At 6 months after PFO closure, residual right-to-left shunt was present in 26% of patients. Absence of right-to-left shunt was associated with improvement in migraine burden by >50% (odds ratio: 4.60; 95% confidence interval: 1.30 to 16.10; p = 0.017). CONCLUSIONS: Long-term follow-up after transcatheter PFO closure was associated with significant improvement in migraine burden. Aura was a predictor of abolishing symptoms. Absence of residual right-to-left shunt was a predictor of significant reduction in migraine burden."
JEFFREY CAMPBELL,NRXN3 Is a Novel Locus for Waist Circumference: A Genome-Wide Association Study from the CHARGE Consortium,"Central abdominal fat is a strong risk factor for diabetes and cardiovascular disease. To identify common variants influencing central abdominal fat, we conducted a two-stage genome-wide association analysis for waist circumference (WC). In total, three loci reached genome-wide significance. In stage 1, 31,373 individuals of Caucasian descent from eight cohort studies confirmed the role of FTO and MC4R and identified one novel locus associated with WC in the neurexin 3 gene [NRXN3 (rs10146997, p = 6.4×10−7)]. The association with NRXN3 was confirmed in stage 2 by combining stage 1 results with those from 38,641 participants in the GIANT consortium (p = 0.009 in GIANT only, p = 5.3×10−8 for combined analysis, n = 70,014). Mean WC increase per copy of the G allele was 0.0498 z-score units (0.65 cm). This SNP was also associated with body mass index (BMI) [p = 7.4×10−6, 0.024 z-score units (0.10 kg/m2) per copy of the G allele] and the risk of obesity (odds ratio 1.13, 95% CI 1.07–1.19; p = 3.2×10−5 per copy of the G allele). The NRXN3 gene has been previously implicated in addiction and reward behavior, lending further evidence that common forms of obesity may be a central nervous system-mediated disorder. Our findings establish that common variants in NRXN3 are associated with WC, BMI, and obesity. Author Summary Obesity is a major health concern worldwide. In the past two years, genome-wide association studies of DNA markers known as SNPs (single nucleotide polymorphisms) have identified two novel genetic factors that may help scientists better understand why some people may be more susceptible to obesity. Similarly, this paper describes results from a large scale genome-wide association analysis for obesity susceptibility genes that includes 31,373 individuals from 8 separate studies. We uncovered a new gene influencing waist circumference, the neurexin 3 gene (NRXN3), which has been previously implicated in studies of addiction and reward behavior. These findings lend further evidence that our genes may influence our desire and consumption of food and, in turn, our susceptibility to obesity."
JEFFREY CAMPBELL,Ergodic dynamics and thermalization in an isolated quantum system,"Statistical mechanics is founded on the assumption that all accessible configurations of a system are equally likely. This requires dynamics that explore all states over time, known as ergodic dynamics. In isolated quantum systems, however, the occurrence of ergodic behaviour has remained an outstanding question^1,2,3,4. Here, we demonstrate ergodic dynamics in a small quantum system consisting of only three superconducting qubits. The qubits undergo a sequence of rotations and interactions and we measure the evolution of the density matrix. Maps of the entanglement entropy show that the full system can act like a reservoir for individual qubits, increasing their entropy through entanglement. Surprisingly, these maps bear a strong resemblance to the phase space dynamics in the classical limit; classically, chaotic motion coincides with higher entanglement entropy. We further show that in regions of high entropy the full multi-qubit system undergoes ergodic dynamics. Our work illustrates how controllable quantum systems can investigate fundamental questions in non-equilibrium thermodynamics."
SAMANTHA AUTY,Medicaid managed care enrollment and maternal health outcomes among pregnant people with substance use disorders,"Pregnant people with substance use disorders (SUD) are at high risk of potentially avoidable morbidity and mortality. In particular, pregnant people with opioid use disorder (OUD) have experienced large increases in maternal mortality, largely driven by rising rates of drug overdose. The majority of pregnant people with SUD receive health insurance through state Medicaid programs, many of which use private Medicaid managed care (MMC) plans to finance and deliver health care services rather than through the state-run fee-for-service (FFS) plan. MMC plans receive capitated payments in exchange for coverage of a defined set of benefits. Pregnant people with SUD are predictably high-cost and high-need, and MMC plans may not be able to recoup the high cost of services used over often short periods of enrollment associated with pregnancy. While capitation may incentivize MMC plans to promote access to high-value services that reduce the risk of poor maternal health outcomes, it might also incentivize plans to restrict access to certain services or alter their provider networks in ways that reduce costs. Despite being the dominant delivery vehicle of insurance coverage to this growing population, no research has examined the association between MMC enrollment and maternal health outcomes among pregnant people with any SUD or with OUD. In this Dissertation, I use the newly-available Transformed Medicaid Statistical Information System Analytic Files (TAF) across all three studies. The newly-available TAF files contain claims data for all Medicaid enrollees from all 50 states and the District of Columbia, and represent the most comprehensive data source for longitudinal inpatient and outpatient health service utilization among Medicaid enrollees. In the first study, I develop and validate an algorithm to identify live births using the TAF data. I find that using claims in both the inpatient and other services files are critical to accurately capture live births at the state-year and state-month level. In the second study, I first estimate the burden of SUD and OUD among pregnant people enrolled in Medicaid, and the prevalence of adverse maternal health outcomes in these groups. Next, I examine the association of severe maternal morbidity (SMM) and MMC enrollment among pregnant people with SUD and, separately, OUD nationally from 2016-2018. I find that SMM within six weeks of delivery is more prevalent among those with any SUD (3.2%) and OUD (3.9%) than those without either diagnosis (1.6%). Moreover, I find that enrollment in MMC (vs. Medicaid FFS) is associated with a 0.54 percentage-point (pp) and a 0.66 pp reduction in the probability of SMM among those with any SUD and among those with OUD, respectively. In the third study, I estimate the effect of MMC enrollment on adverse maternal health outcomes using data from two states (Illinois and Missouri) that expanded MMC to statewide. Using difference-in-differences models, I find that expansion of MMC did not change the probability of adverse maternal health outcomes among pregnant people with any SUD. These results suggest that at a minimum MMC has not worsened health outcomes among those with SUD, and at best, MMC may be driving incremental improvements for this group at high-risk of morbidity and mortality."
ANDREW STOKES,Deaths attributable to diabetes in the United States: comparison of data sources and estimation approaches,"OBJECTIVE: The goal of this research was to identify the fraction of deaths attributable to diabetes in the United States. RESEARCH DESIGN AND METHODS: We estimated population attributable fractions (PAF) for cohorts aged 30±84 who were surveyed in the National Health Interview Survey (NHIS) between 1997 and 2009 (N = 282,322) and in the National Health and Nutrition Examination Survey (NHANES) between 1999 and 2010 (N = 21,814). Cohort members were followed prospectively for mortality through 2011. We identified diabetes status using self-reported diagnoses in both NHIS and NHANES and using HbA1c in NHANES. Hazard ratios associated with diabetes were estimated using Cox model adjusted for age, sex, race/ethnicity, educational attainment, and smoking status. RESULTS: We found a high degree of consistency between data sets and definitions of diabetes in the hazard ratios, estimates of diabetes prevalence, and estimates of the proportion of deaths attributable to diabetes. The proportion of deaths attributable to diabetes was estimated to be 11.5% using self-reports in NHIS, 11.7% using self-reports in NHANES, and 11.8% using HbA1c in NHANES. Among the sub-groups that we examined, the PAF was highest among obese persons at 19.4%. The proportion of deaths in which diabetes was assigned as the underlying cause of death (3.3±3.7%) severely understated the contribution of diabetes to mortality in the United States. CONCLUSIONS: Diabetes may represent a more prominent factor in American mortality than is commonly appreciated, reinforcing the need for robust population-level interventions aimed at diabetes prevention and care."
ANDREW STOKES,Scintillation light detection in the 6-m drift-length ProtoDUNE Dual Phase liquid argon TPC,"DUNE is a dual-site experiment for long-baseline neutrino oscillation studies, neutrino astrophysics and nucleon decay searches. ProtoDUNE Dual Phase (DP) is a 6  ×  6  ×  6 m 3 liquid argon time-projection-chamber (LArTPC) that recorded cosmic-muon data at the CERN Neutrino Platform in 2019-2020 as a prototype of the DUNE Far Detector. Charged particles propagating through the LArTPC produce ionization and scintillation light. The scintillation light signal in these detectors can provide the trigger for non-beam events. In addition, it adds precise timing capabilities and improves the calorimetry measurements. In ProtoDUNE-DP, scintillation and electroluminescence light produced by cosmic muons in the LArTPC is collected by photomultiplier tubes placed up to 7 m away from the ionizing track. In this paper, the ProtoDUNE-DP photon detection system performance is evaluated with a particular focus on the different wavelength shifters, such as PEN and TPB, and the use of Xe-doped LAr, considering its future use in giant LArTPCs. The scintillation light production and propagation processes are analyzed and a comparison of simulation to data is performed, improving understanding of the liquid argon properties."
ANDREW STOKES,Prospects for beyond the standard model physics searches at the deep underground neutrino experiment: DUNE collaboration,"The Deep Underground Neutrino Experiment (DUNE) will be a powerful tool for a variety of physics topics. The high-intensity proton beams provide a large neutrino flux, sampled by a near detector system consisting of a combination of capable precision detectors, and by the massive far detector system located deep underground. This configuration sets up DUNE as a machine for discovery, as it enables opportunities not only to perform precision neutrino measurements that may uncover deviations from the present three-flavor mixing paradigm, but also to discover new particles and unveil new interactions and symmetries beyond those predicted in the Standard Model (SM). Of the many potential beyond the Standard Model (BSM) topics DUNE will probe, this paper presents a selection of studies quantifying DUNE's sensitivities to sterile neutrino mixing, heavy neutral leptons, non-standard interactions, CPT symmetry violation, Lorentz invariance violation, neutrino trident production, dark matter from both beam induced and cosmogenic sources, baryon number violation, and other new physics topics that complement those at high-energy colliders and significantly extend the present reach."
ANDREW STOKES,Identification and reconstruction of low-energy electrons in the ProtoDUNE-SP detector,
SARAH H GORDON,Using diffusion tensor imaging to identify corticospinal tract projection patterns in children with unilateral spastic cerebral palsy.,"AIM: To determine whether diffusion tensor imaging (DTI) can be an independent assessment for identifying the corticospinal tract (CST) projecting from the more-affected motor cortex in children with unilateral spastic cerebral palsy (CP). METHOD: Twenty children with unilateral spastic CP participated in this study (16 males, four females; mean age 9y 2mo [standard deviation (SD) 3y 2mo], Manual Ability Classification System [MACS] level I-III). We used DTI tractography to reconstruct the CST projecting from the more-affected motor cortex. We mapped the motor representation of the more-affected hand by stimulating the more- and the less-affected motor cortex measured with single-pulse transcranial magnetic stimulation (TMS). We then verified the presence or absence of the contralateral CST by comparing the TMS map and DTI tractography. Fisher's exact test was used to determine the association between findings of TMS and DTI. RESULTS: DTI tractography successfully identified the CST controlling the more-affected hand (sensitivity=82%, specificity=78%). INTERPRETATION: Contralateral CST projecting from the lesioned motor cortex assessed by DTI is consistent with findings of TMS mapping. Since CST connectivity may be predictive of response to certain upper extremity treatments, DTI-identified CST connectivity may potentially be valuable for determining such connectivity where TMS is unavailable or inadvisable for children with seizures."
SARAH H GORDON,The long-baseline neutrino experiment: exploring fundamental symmetries of the universe,"The preponderance of matter over antimatter in the early Universe, the dynamics of the supernova bursts that produced the heavy elements necessary for life and whether protons eventually decay --- these mysteries at the forefront of particle physics and astrophysics are key to understanding the early evolution of our Universe, its current state and its eventual fate. The Long-Baseline Neutrino Experiment (LBNE) represents an extensively developed plan for a world-class experiment dedicated to addressing these questions. LBNE is conceived around three central components: (1) a new, high-intensity neutrino source generated from a megawatt-class proton accelerator at Fermi National Accelerator Laboratory, (2) a near neutrino detector just downstream of the source, and (3) a massive liquid argon time-projection chamber deployed as a far detector deep underground at the Sanford Underground Research Facility. This facility, located at the site of the former Homestake Mine in Lead, South Dakota, is approximately 1,300 km from the neutrino source at Fermilab -- a distance (baseline) that delivers optimal sensitivity to neutrino charge-parity symmetry violation and mass ordering effects. This ambitious yet cost-effective design incorporates scalability and flexibility and can accommodate a variety of upgrades and contributions. With its exceptional combination of experimental configuration, technical capabilities, and potential for transformative discoveries, LBNE promises to be a vital facility for the field of particle physics worldwide, providing physicists from around the globe with opportunities to collaborate in a twenty to thirty year program of exciting science. In this document we provide a comprehensive overview of LBNE's scientific objectives, its place in the landscape of neutrino physics worldwide, the technologies it will incorporate and the capabilities it will possess."
